Nome,Grupo,Nivel,DemandaEnergetica,Tipo
Corrida (30 min),Aeróbico,Avançado,Alta,Cardio
HIIT (20 min),Aeróbico,Avançado,Alta,Cardio
Natação (45 min),Aeróbico,Avançado,Alta,Cardio
Ciclismo (40 min),Aeróbico,Intermediário,Alta,Cardio
Supino Reto com Halteres,Peito,Básico,Baixa,Composto
Flexão de Braço,Peito,Básico,Baixa,Composto
Crucifixo com Halteres,Peito,Intermediário,Baixa,Isolado
Voador,Peito,Básico,Baixa,Isolado
Supino Inclinado Halteres,Peito,Intermediário,Baixa,Composto
Remada Curvada com Barra,Costas,Intermediário,Baixa,Composto
Puxada Frontal (Pulley),Costas,Básico,Baixa,Composto
Remada Cavalinho,Costas,Avançado,Baixa,Composto
Levantamento Terra,Costas,Avançado,Alta,Composto
Remada com Halteres,Costas,Intermediário,Baixa,Composto
Agachamento Livre,Pernas,Básico,Baixa,Composto
Leg Press,Pernas,Intermediário,Baixa,Composto
Afundo com Halteres,Pernas,Básico,Baixa,Composto
Cadeira Extensora,Pernas,Básico,Baixa,Isolado
Mesa Flexora,Pernas,Básico,Baixa,Isolado
Panturrilha em pé,Pernas,Básico,Baixa,Isolado
Desenvolvimento com Halteres,Ombros,Intermediário,Baixa,Composto
Elevação Lateral,Ombros,Básico,Baixa,Isolado
Remada Alta,Ombros,Intermediário,Baixa,Composto
Elevação Frontal,Ombros,Básico,Baixa,Isolado
Rosca Direta com Barra,Bíceps,Básico,Baixa,Isolado
Rosca Alternada com Halteres,Bíceps,Intermediário,Baixa,Isolado
Rosca Concentrada,Bíceps,Intermediário,Baixa,Isolado
Tríceps Testa,Tríceps,Básico,Baixa,Isolado
Extensão de Tríceps na Polia,Tríceps,Intermediário,Baixa,Isolado
Coice com Halteres,Tríceps,Básico,Baixa,Isolado
Prancha,Abdômen,Básico,Baixa,Composto
Abdominal Remador,Abdômen,Intermediário,Baixa,Isolado
Elevação de Pernas,Abdômen,Avançado,Baixa,Isolado
Abdominal Crunch,Abdômen,Básico,Baixa,Isolado
